"year","crop","area","production","yield","prop_area"
1960,"Millet",18643,6831,0.37,0.140581994223794
1960,"Potato",NA,NA,NA,NA
1960,"Rape and mustard",2940,1402,0.82,0.0221697721942796
1960,"Rice",33724,51361,1.52,0.254303876693838
1960,"Sesamum",1966,292.6,0.15,0.0148250925625693
1960,"Sorghum",17040,9231,0.54,0.128494189860723
1960,"Sugarcane",2320,86410,37.2,0.0174945141124927
1960,"Sweet potatoes",199,1281,6.4,0.00150060702947675
1960,"Wheat",13169,10251,0.78,0.0993039898049211
1961,"Anise, badian, fennel, coriander",90,45,0.5,0.000596340117576803
1961,"Apples",44.5,185,4.1573,0.000294857058135197
1961,"Apricots",2.9,8,2.7586,1.92154037885859e-05
1961,"Areca nuts",135,120,0.8889,0.000894510176365204
1961,"Bananas",165,2257,13.6788,0.00109329021555747
1961,"Barley",3205,2819,0.8796,0.0212363341870406
1961,"Bastfibres, other",629.515,416.2,0.6611,0.00417116721240401
1961,"Beans, dry",6541.248,1685.627,0.2577,0.0433423177935447
1961,"Beans, green",80,185,2.3125,0.000530080104512714
1961,"Berries nes",NA,1,NA,NA
1961,"Cabbages and other brassicas",21,288,13.7143,0.000139146027434587
1961,"Carrots and turnips",8,64,8,5.30080104512714e-05
1961,"Cashew nuts, with shell",200,85,0.425,0.00132520026128178
1961,"Cassava",274,1969,7.1861,0.00181552435795604
1961,"Castor",486,109,0.2243,0.00322023663491474
1961,"Cauliflowers and broccoli",41,413,10.0732,0.000271666053562766
1961,"Cherries",1.2,3,2.5,7.95120156769071e-06
1961,"Chickpea",9276,6250,0.6738,0.0614627881182492
1961,"Chillies and peppers, dry",616,389,0.6315,0.0040816168047479
1961,"Chillies and peppers, green",2.85,17,5.9649,1.88841037232654e-05
1961,"Cocoa, beans",NA,NA,NA,NA
1961,"Coconuts",723,3328,4.603,0.00479059894453365
1961,"Coffee, green",96,43.2,0.45,0.000636096125415256
1961,"Coir",NA,166.5,NA,NA
1961,"Cotton",7719,2763,0.3579,0.0511461040841705
1961,"Cucumbers and gherkins",5.5,26,4.7273,3.64430071852491e-05
